"","player","salary","position","height","weight","G","FG","FGA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","Team"
"371","Shelvin Mack",2433333,"PG",75,203,7,11,28,3,3,9,12,5,0,5,3,27,"ATL"
"372","Solomon Hill",1358880,"SF",79,225,5,5,11,0,0,6,1,1,0,3,1,11,"IND"
"373","Sonny Weems",2800000,"SG",78,205,9,3,12,3,5,14,9,3,0,10,4,9,"PHO"
"374","Spencer Dinwiddie",845059,"PG",78,200,6,13,33,11,19,8,12,2,0,5,16,38,"DET"
"375","Spencer Hawes",5543725,"PF",85,245,14,27,71,9,13,48,30,4,4,14,31,70,"CHO"
"376","Stanley Johnson",2841960,"SF",79,245,14,45,117,15,22,50,17,9,0,18,31,113,"DET"
"377","Stephen Curry",11370786,"PG",75,185,16,173,338,90,96,82,95,41,3,58,27,514,"GSW"
"378","Steve Blake",2170465,"PG",75,172,10,12,41,0,0,13,30,5,1,15,7,30,"DET"
"379","Steve Novak",3750000,"PF",82,225,1,1,1,0,0,1,0,0,0,0,0,3,"OKC"
"380","Steven Adams",2279040,"C",85,255,15,36,62,20,33,78,14,5,26,14,48,92,"OKC"
"381","T.J. McConnell",525093,"PG",74,200,15,48,100,0,0,74,98,20,6,42,32,103,"PHI"
"382","T.J. Warren",2041080,"SF",80,230,13,60,120,15,20,42,8,7,2,12,22,142,"PHO"
"383","Taj Gibson",8500000,"PF",81,225,13,35,70,17,28,69,17,5,14,14,34,87,"CHI"
"384","Tarik Black",845059,"C",81,250,8,12,23,6,12,35,1,1,2,5,21,30,"LAL"
"385","Tayshaun Prince",1499187,"SF",81,212,14,18,40,4,9,33,11,5,2,6,13,41,"MIN"
"386","Terrence Jones",2489530,"PF",81,252,9,45,95,19,34,50,11,5,10,10,22,116,"HOU"
"387","Terrence Ross",3553917,"SF",79,195,9,19,53,5,5,14,5,6,1,6,19,52,"TOR"
"388","Terry Rozier",1824360,"PG",74,190,8,7,30,0,0,8,7,0,0,4,5,16,"BOS"
"389","Thabo Sefolosha",4e+06,"SF",79,220,13,40,74,10,17,64,18,22,9,13,15,98,"ATL"
"390","Thaddeus Young",11200000,"PF",80,221,14,98,186,17,27,118,20,21,7,22,37,214,"BRK"
"391","Thomas Robinson",981300,"PF",82,237,14,22,41,7,15,63,3,5,8,14,16,51,"BRK"
"392","Tiago Splitter",8500000,"C",83,245,14,32,66,14,17,51,10,7,4,12,28,78,"ATL"
"393","Tibor Pleiss",3e+06,"C",87,256,4,2,4,0,0,1,0,0,1,1,4,4,"UTA"
"394","Tim Duncan",5e+06,"C",83,250,14,57,107,34,44,114,40,13,24,28,39,148,"SAS"
"395","Tim Frazier",845059,"PG",73,170,8,1,3,0,0,3,5,2,0,2,4,2,"POR"
"396","Tim Hardaway",1304520,"G",78,205,1,1,3,0,0,0,1,0,0,0,1,3,"ATL"
"397","Timofey Mozgov",4950000,"C",85,275,12,33,64,28,36,55,6,3,13,14,25,95,"CLE"
"398","Tobias Harris",1.6e+07,"PF",81,235,14,78,169,36,46,110,31,11,9,27,32,203,"ORL"
"399","Toney Douglas",1164858,"PG",74,195,12,32,75,14,15,18,25,12,0,15,25,89,"NOP"
"400","Toney Douglas",6e+05,"PG",74,195,12,32,75,14,15,18,25,12,0,15,25,89,"NOP"
"401","Tony Allen",5168539,"SF",76,213,15,40,94,13,22,60,15,25,4,13,44,97,"MEM"
"402","Tony Parker",13437500,"PG",74,185,14,76,137,35,43,25,63,13,1,28,27,189,"SAS"
"403","Tony Snell",1535880,"SF",79,200,13,26,80,9,10,39,14,3,5,13,25,78,"CHI"
"404","Trevor Ariza",8193030,"SF",80,215,14,57,158,28,37,77,27,27,4,24,40,172,"HOU"
"405","Trevor Booker",4775000,"PF",80,228,12,19,65,2,2,63,10,10,6,10,32,41,"UTA"
"406","Trey Burke",2658240,"PG",73,191,13,58,129,15,20,32,30,12,0,20,21,151,"UTA"
"407","Trey Lyles",2239800,"PF",82,234,11,8,27,2,4,24,3,1,1,5,12,19,"UTA"
"408","Tristan Thompson",14260870,"PF",81,238,14,45,75,19,34,141,13,6,10,11,34,109,"CLE"
"409","Troy Daniels",947276,"SG",76,205,5,2,6,1,2,3,1,0,0,1,1,7,"CHO"
"410","Ty Lawson",12404495,"PG",71,195,14,36,114,27,40,41,69,17,3,35,24,108,"HOU"
"411","Tyler Ennis",1662360,"PG",75,194,6,11,24,5,6,9,9,2,0,7,9,29,"MIL"
"412","Tyler Hansbrough",1185784,"PF",81,250,4,3,8,4,4,4,1,1,0,1,2,11,"CHO"
"413","Tyler Johnson",845059,"SG",76,186,12,39,73,18,24,32,21,8,6,13,19,106,"MIA"
"414","Tyler Zeller",2616975,"C",85,253,10,19,35,12,15,17,6,1,1,5,11,50,"BOS"
"415","Tyson Chandler",1.3e+07,"C",85,240,14,26,56,23,34,130,6,12,10,18,34,75,"PHO"
"416","Tyus Jones",1282080,"PG",74,195,2,0,5,1,2,1,1,1,0,0,1,1,"MIN"
"417","Udonis Haslem",2854940,"PF",80,235,3,3,5,0,0,6,1,1,0,1,2,6,"MIA"
"418","Victor Oladipo",5192520,"SG",76,210,12,61,165,18,24,74,43,16,8,18,25,154,"ORL"
"419","Vince Carter",4088091,"SG",78,220,4,7,20,2,3,10,0,3,2,4,9,19,"MEM"
"420","Walter Tavares",1e+06,"C",87,260,3,0,0,1,2,2,1,0,0,1,1,1,"ATL"
"421","Wayne Ellington",1500000,"SG",76,200,13,18,55,2,2,16,9,9,1,1,11,45,"BRK"
"422","Wayne Ellington",923780,"SG",76,200,13,18,55,2,2,16,9,9,1,1,11,45,"BRK"
"423","Wesley Johnson",1100600,"SF",79,215,14,31,57,4,6,25,5,7,5,4,24,79,"LAC"
"424","Wesley Matthews",16400000,"SG",77,220,13,45,129,29,33,32,22,9,1,13,29,145,"DAL"
"425","Will Barton",1450000,"SG",78,175,15,74,155,38,43,73,28,18,9,15,20,203,"DEN"
"426","Willie Cauley-Stein",3398280,"C",85,240,15,30,48,11,21,81,5,11,15,12,36,71,"SAC"
"427","Zach LaVine",2148360,"PG",77,189,14,71,160,33,37,47,48,9,1,34,30,193,"MIN"
"428","Zach Randolph",9638555,"PF",81,260,12,72,153,30,35,104,21,10,1,27,25,174,"MEM"
"429","Zaza Pachulia",5200000,"C",83,270,15,47,101,69,88,150,35,13,9,29,41,163,"DAL"
